Company,AI Pricing Model,Category,Employees,URL
activtrak,Tiered,Human Resources & Legal,101-1000,https://www.activtrak.com/website-terms-of-use/
aftership,Tiered,Supply Chain & Logistics,101-1000,https://www.aftership.com/legal/terms-of-service?as_source=www.aftership.com%2Fpricing%2Ftracking
aha,Addon,Project Management & Maintenance,101-1000,https://www.aha.io/legal/terms_of_service
aircall,Addon,Collaboration & Productivity,101-1000,https://legal.aircall.io/#contract-rywvrdsmn
algolia,Tiered,Design & Development,101-1000,https://www.algolia.com/policies/terms
amplitude,Tiered,Analytics,101-1000,https://amplitude.com/terms
anaconda,Usage,Artificial Intelligence,101-1000,https://legal.anaconda.com/policies/en/
anyword,Tiered,Collaboration & Productivity,101-1000,https://www.anyword.com/anyword-terms-of-service
appfollow,Tiered,Marketing & Sales,51-100,https://get.appfollow.io/terms
asana,Usage,Project Management & Maintenance,1001-10000,https://asana.com/terms
assemblyai,Usage,Artificial Intelligence,101-1000,https://www.assemblyai.com/legal/terms-of-service
atlassian,Tiered,Project Management & Maintenance,10000+,https://www.atlassian.com/legal/atlassian-customer-agreement#intro
avoma,Tiered,Marketing & Sales,51-100,https://www.avoma.com/terms
awskendra,Usage,Artificial Intelligence,10000+,https://aws.amazon.com/terms/?nc1=f_pr
blameless,Tiered,Cybersecurity & IT Management,51-100,https://www.blameless.com/legal/terms-and-conditions
botpress,Usage,Artificial Intelligence,11-50,https://botpress.com/legal/terms-of-service
box,Usage,Collaboration & Productivity,1001-10000,https://www.box.com/legal/termsofservice
breezy,Addon,Human Resources & Legal,101-1000,https://breezy.hr/policies/terms
buffer,Tiered,Collaboration & Productivity,101-1000,https://buffer.com/legal#terms
canva,Tiered,Design & Development,1001-10000,https://www.canva.com/trust/legal/
caspio,Usage,Design & Development,101-1000,https://www.caspio.com/terms-of-use-agreement/
clarifai,Usage,Artificial Intelligence,51-100,https://www.clarifai.com/company/terms
cledara,Tiered,Financial & Accounting,51-100,https://www.cledara.com/terms
clevertap,Tiered,Marketing & Sales,101-1000,https://clevertap.com/terms-service/
clickup,Addon,Project Management & Maintenance,1001-10000,https://clickup.com/terms
codecademy,Tiered,Design & Development,101-1000,https://www.codecademy.com/terms
cohere,Usage,Artificial Intelligence,101-1000,https://cohere.com/terms-of-use
constantcontact,Tiered,Collaboration & Productivity,1001-10000,https://www.constantcontact.com/legal/terms
coschedule,Tiered,Marketing & Sales,51-100,https://coschedule.com/terms
couchbase,Usage,Artificial Intelligence,101-1000,https://www.couchbase.com/terms-of-use/
databricks,Usage,Analytics,1001-10000,https://www.databricks.com/legal/terms-of-use
deel,Tiered,Human Resources & Legal,1001-10000,https://www.deel.com/legal/terms-of-service/
deepbrain,Usage,Artificial Intelligence,51-100,https://www.aistudios.com/terms-of-use
deepgram,Usage,Artificial Intelligence,101-1000,https://deepgram.com/terms
edenai,Usage,Artificial Intelligence,101-1000,https://www.edenai.co/terms-conditions
elementor,Tiered,Collaboration & Productivity,101-1000,https://elementor.com/terms/
employment-hero,Tiered,Human Resources & Legal,101-1000,https://employmenthero.com/legals/terms-conditions/?_gl=1*1rnflqp*_up*MQ..*_ga*MTY2OTM3NDg5Ni4xNzQ2OTU5Nzcx*_ga_ML8PXVWRJC*czE3NDY5NTk3NzEkbzEkZzAkdDE3NDY5NTk3NzEkajAkbDAkaDA.
evernote,Tiered,Collaboration & Productivity,101-1000,https://evernote.com/legal/terms-of-service
flatfile,Tiered,Design & Development,51-100,https://flatfile.com/terms/
getresponse,Tiered,Collaboration & Productivity,101-1000,https://www.getresponse.com/legal
getshogun,Tiered,Marketing & Sales,101-1000,https://getshogun.com/policy/terms
github,Addon,Design & Development,1001-10000,https://docs.github.com/en/site-policy/github-terms/github-terms-of-service
goto,Tiered,Collaboration & Productivity,1001-10000,https://www.goto.com/company/legal/terms-and-conditions
grammarly,Usage,Collaboration & Productivity,1001-10000,https://www.grammarly.com/terms
harness,Tiered,Design & Development,101-1000,https://www.harness.io/legal/website-terms-of-use
hive,Tiered,Project Management & Maintenance,51-100,https://hive.com/terms-of-service/
hiverhq,Tiered,Collaboration & Productivity,101-1000,https://hiverhq.com/terms
hootsuite,Addon,Marketing & Sales,1001-10000,https://www.hootsuite.com/legal/terms
huggingface,Usage,Artificial Intelligence,101-1000,https://huggingface.co/terms-of-service
izea,Tiered,Marketing & Sales,101-1000,https://izea.com/terms/
learnworlds,Tiered,Marketing & Sales,101-1000,https://www.learnworlds.com/terms/
logicmonitor,Usage,Cybersecurity & IT Management,1001-10000,https://www.logicmonitor.com/terms-of-use
logrocket,Tiered,Analytics,101-1000,https://logrocket.com/terms-and-conditions
lokalise,Usage,Collaboration & Productivity,101-1000,https://lokalise.com/terms
madgicx,Tiered,Marketing & Sales,101-1000,https://madgicx.com/terms-of-service
mailchimp,Tiered,Collaboration & Productivity,101-1000,https://mailchimp.com/legal/terms/
manatal,Tiered,Human Resources & Legal,51-100,https://www.manatal.com/terms-of-service
mixmax,Tiered,Collaboration & Productivity,101-1000,https://www.mixmax.com/legal/terms-of-service
mongodb,Usage,Cybersecurity & IT Management,1001-10000,https://www.mongodb.com/legal/terms-of-use
oneplan,Tiered,Project Management & Maintenance,101-1000,https://oneplan.ai/terms/
openai,Usage,Artificial Intelligence,1001-10000,https://openai.com/policies/terms-of-use/
otter,Tiered,Collaboration & Productivity,101-1000,https://otter.ai/terms-of-service
pagerduty,Usage,Cybersecurity & IT Management,1001-10000,https://www.pagerduty.com/website-terms-of-use/
pardot,Tiered,Marketing & Sales,10000+,https://www.salesforce.com/company/legal/sfdc-website-terms-of-service/
pinecone,Usage,Artificial Intelligence,101-1000,https://www.pinecone.io/terms/
